congress,chamber,icpsr,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2
113,Senate,40902,ID,200,0,1 ,"RISCH, James",R000584,0.636,0.57,-63.78226,0.88859,540,25,0.772,0.578
113,Senate,15021,IL,100,0,1 ,"DURBIN, Richard Joseph",D000563,-0.363,-0.363,-19.12742,0.96582,550,7,-0.336,-0.286
113,Senate,20115,IL,200,0,1 ,"KIRK, Mark Steven",K000360,0.274,-0.647,-176.7963,0.705,506,92,0.345,-0.76
113,Senate,14806,IN,200,0,1 ,"COATS, Daniel Ray",C000542,0.375,-0.227,-123.88821,0.795,539,55,0.407,-0.019
113,Senate,20717,IN,100,0,1 ,"DONNELLY, Joe",D000607,-0.119,0.435,-62.3456,0.89265,549,16,-0.171,0.318
113,Senate,14226,IA,200,0,1 ,"GRASSLEY, Charles Ernest",G000386,0.343,-0.071,-134.69163,0.78348,552,70,0.501,-0.012
113,Senate,14230,IA,100,0,1 ,"HARKIN, Thomas Richard (Tom)",H000206,-0.351,-0.546,-30.33406,0.944,528,12,-0.316,-0.085
113,Senate,14852,KS,200,0,1 ,"ROBERTS, Charles Patrick (Pat)",R000307,0.414,-0.094,-157.62557,0.73634,515,69,0.626,0.341
113,Senate,29722,KS,200,0,1 ,"MORAN, Jerry",M000934,0.414,0.256,-107.17983,0.80601,497,47,0.484,0.458
113,Senate,14921,KY,200,0,1 ,"McCONNELL, Addison Mitchell (Mitch)",M000355,0.403,0,-116.9721,0.80842,550,52,0.488,0.206
113,Senate,41104,KY,200,0,1 ,"PAUL, Rand",P000603,0.879,-0.477,-111.66297,0.81226,537,42,0.914,-0.407
113,Senate,29918,LA,200,0,1 ,"VITTER, David",V000127,0.495,0.323,-110.77719,0.803,506,58,0.467,0.38
113,Senate,49702,LA,100,0,1 ,"LANDRIEU, Mary L.",L000550,-0.203,0.444,-55.47109,0.893,492,22,-0.196,0.434
113,Senate,41300,ME,328,0,1 ,"KING, Angus Stanley, Jr.",K000383,-0.152,-0.231,-62.04689,0.89313,549,28,-0.178,-0.375
113,Senate,49703,ME,200,0,1 ,"COLLINS, Susan Margaret",C001035,0.11,-0.556,-101.53998,0.83198,552,39,0.101,-0.532
113,Senate,14440,MD,100,0,1 ,"MIKULSKI, Barbara Ann",M000702,-0.37,-0.128,-16.25351,0.97,527,5,-0.413,-0.149
113,Senate,15408,MD,100,0,1 ,"CARDIN, Benjamin Louis",C000141,-0.326,-0.252,-19.25978,0.96559,550,5,-0.46,-0.171
113,Senate,14435,MA,100,3,2 ,"MARKEY, Edward John",M000133,-0.504,-0.435,-10.84224,0.97272,392,5,-0.536,-0.716
113,Senate,14920,MA,100,1,1 ,"KERRY, John Forbes",K000148,-0.352,-0.382,,,,,-0.178,-0.582
113,Senate,41301,MA,100,0,1 ,"WARREN, Elizabeth",W000817,-0.764,-0.254,-28.38557,0.94934,546,17,-0.718,-0.066
113,Senate,41306,MA,100,2,5 ,"COWAN, William (Mo)",C001099,-0.462,0.348,-8.89963,0.936,134,4,-0.433,0.183
113,Senate,14709,MI,100,0,1 ,"LEVIN, Carl",L000261,-0.395,-0.116,-36.77581,0.934,540,12,-0.317,-0.044
113,Senate,29732,MI,100,0,1 ,"STABENOW, Deborah Ann",S000770,-0.331,0.026,-15.80257,0.97126,542,6,-0.419,0.093
113,Senate,40700,MN,100,0,1 ,"KLOBUCHAR, Amy",K000367,-0.247,-0.162,-24.32888,0.9565,547,6,-0.269,-0.213
